idx	shannonAA	shannonPROP	linearAA	linearPROP	renyiAA	renyiPROP	tsallisAA	tsallisPROP
46	0.357109	0.488639	0.137498	0.208029	0.909247	0.985193	1.151160	1.273120
47	1.928715	1.707314	0.817558	0.799111	2.175974	1.811985	3.936586	2.948773
48	0.552013	1.033495	0.230736	0.465330	1.105378	1.436408	1.475841	2.101493
49	0.869320	1.593594	0.469823	0.778346	1.292358	1.732356	1.816471	2.755610
50	1.247227	1.300734	0.636244	0.684012	1.626913	1.511759	2.511382	2.258968
51	1.175171	1.526383	0.551488	0.766943	1.537749	1.596111	2.314674	2.442435
52	0.077826	0.732111	0.026508	0.506644	0.277103	0.836587	0.297218	1.038732
53	0.315365	0.924503	0.122850	0.549665	0.804214	1.186248	0.989942	1.619265
54	0.318698	1.160270	0.123023	0.674319	0.811224	1.285018	1.000441	1.802489
55	1.244216	0.954565	0.670601	0.586670	1.316319	1.015319	1.862469	1.322796
56	0.626316	1.117188	0.396668	0.668449	0.838476	1.197105	1.041604	1.638967
57	2.529540	1.849029	0.895945	0.814234	2.697678	1.959032	5.705899	3.326334
58	0.244664	0.862722	0.083520	0.532236	0.752131	1.149619	0.913085	1.553585
59	2.031474	1.734490	0.845977	0.782598	2.219563	1.881491	4.067392	3.123781
60	1.788678	1.516547	0.738940	0.727497	2.177181	1.718653	3.940170	2.723139
61	2.133806	1.898047	0.840572	0.833168	2.380448	2.000844	4.575635	3.438858
62	0.448403	0.880267	0.194079	0.407707	0.856323	1.262323	1.068868	1.759584
63	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
64	0.419191	0.770950	0.191491	0.353152	0.840627	1.255494	1.044877	1.746770
65	1.634548	1.491084	0.778788	0.742709	1.829415	1.633213	2.992090	2.525616
66	1.335035	1.599968	0.591307	0.769730	1.814104	1.760587	2.954018	2.823214
67	2.285413	1.738188	0.877287	0.797726	2.448973	1.872106	4.804838	3.099794
68	0.960324	1.307351	0.401555	0.700761	1.510670	1.486300	2.256648	2.205095
69	2.214517	1.746569	0.859174	0.789262	2.422380	1.886024	4.714956	3.135408
70	0.278372	1.150085	0.098455	0.672600	0.828115	1.284378	1.025888	1.801273
71	1.385361	1.303314	0.628021	0.669314	1.749216	1.521095	2.795869	2.278894
72	1.899455	1.501826	0.827117	0.743247	2.088590	1.674775	3.682789	2.620646
73	1.653720	1.648131	0.736123	0.790667	2.016521	1.761614	3.481657	2.825692
74	1.069480	1.284239	0.609391	0.690821	1.273986	1.393704	1.781574	2.014846
75	0.970890	1.237338	0.412739	0.686530	1.478722	1.394705	2.189194	2.016857
76	1.156289	1.478865	0.597618	0.748800	1.454441	1.597364	2.138641	2.445219
77	0.754613	1.078778	0.506235	0.638035	0.886184	1.184414	1.115031	1.615948
78	1.395589	1.514957	0.699926	0.744055	1.625495	1.640663	2.508184	2.542505
79	1.048127	1.413641	0.516959	0.729206	1.408680	1.569475	2.045022	2.383664
80	1.050310	0.868209	0.578657	0.537805	1.307140	1.093542	1.844782	1.455331
81	0.815274	1.355241	0.512431	0.724382	1.099214	1.464841	1.465145	2.160219
82	1.557224	1.741179	0.746257	0.816298	1.759938	1.787000	2.821651	2.887335
83	0.349174	1.185019	0.146756	0.678493	0.748861	1.317277	0.908326	1.864320
84	1.457585	1.461247	0.730459	0.736276	1.714705	1.636512	2.713824	2.533087
85	0.567929	1.253193	0.296717	0.696422	0.928694	1.356277	1.181949	1.940413
86	1.318401	1.588514	0.644352	0.779520	1.751870	1.672616	2.802239	2.615661
87	0.929516	1.176229	0.542547	0.663154	1.266646	1.350825	1.767720	1.929687
88	1.212474	1.308162	0.573324	0.696050	1.654812	1.499792	2.574754	2.233560
89	1.393815	1.494011	0.690438	0.745996	1.677175	1.606359	2.626195	2.465256
90	0.770393	1.188182	0.426439	0.674164	1.198687	1.381854	1.641846	1.991129
91	0.911706	0.802448	0.532800	0.501871	1.164366	1.022213	1.579884	1.334269
92	1.058770	1.126787	0.516758	0.545247	1.498866	1.470332	2.231599	2.171655
93	1.031704	0.812492	0.571743	0.499204	1.355140	1.129692	1.938173	1.518354
94	1.435479	1.410189	0.667136	0.711024	1.865827	1.624246	3.083808	2.505371
95	0.721848	1.234798	0.311941	0.687923	1.268284	1.371471	1.770808	1.970463
96	0.489247	0.903796	0.270253	0.564971	0.747719	0.979309	0.906665	1.263505
97	1.316983	1.383933	0.648607	0.723444	1.556569	1.505784	2.355467	2.246263
98	1.274232	1.373775	0.599961	0.726690	1.675972	1.484258	2.623414	2.200806
99	0.650455	1.056199	0.301131	0.597347	1.084784	1.285798	1.440232	1.803974
100	0.037099	1.110991	0.010681	0.667857	0.192204	1.164784	0.201743	1.580631
101	0.869516	1.340547	0.525067	0.724144	1.138838	1.397716	1.534481	2.022909
102	0.352596	1.134769	0.150508	0.670807	0.822955	1.234053	1.018092	1.706818
103	1.459418	1.306732	0.716156	0.703290	1.683675	1.441909	2.641255	2.112789
104	0.046801	1.098605	0.015956	0.666662	0.164363	1.098609	0.171305	1.464095
105	0.431573	1.107854	0.245269	0.666394	0.628494	1.144954	0.738456	1.545306
106	0.051920	0.735751	0.015985	0.506655	0.228395	0.875926	0.241947	1.099095
107	1.061895	1.395186	0.494088	0.722742	1.540766	1.545651	2.321187	2.331756
108	0.886304	1.266534	0.322808	0.645031	1.739036	1.559893	2.771522	2.362711
109	2.647436	1.891274	0.908782	0.828882	2.825894	1.993850	6.216086	3.419872
110	2.513812	1.892677	0.883856	0.825236	2.747106	2.019663	5.898718	3.490276
111	2.477258	1.914829	0.880492	0.828221	2.715724	2.038600	5.775745	3.542508
112	2.252253	1.959940	0.847415	0.841139	2.567221	2.059454	5.219296	3.600602
113	1.794353	1.869041	0.707387	0.822877	2.300798	1.995281	4.318906	3.423750
114	0.906884	1.408715	0.339153	0.606222	1.712947	1.796994	2.709685	2.911819
115	0.276407	0.572048	0.093740	0.217705	0.816610	1.187542	1.008532	1.621609
116	0.092692	0.230158	0.026594	0.076475	0.449748	0.739779	0.504330	0.895149
117	0.037099	0.084686	0.010681	0.026355	0.192204	0.349192	0.201743	0.381530
118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
122	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
129	0.018553	0.055383	0.005348	0.015915	0.098412	0.281108	0.100873	0.301823
130	0.051920	0.143409	0.015985	0.046769	0.228395	0.509291	0.241947	0.580008
131	0.140787	0.320973	0.042349	0.109889	0.589485	0.912207	0.685561	1.155827
132	0.400354	0.755028	0.138505	0.305517	1.109952	1.362016	1.483799	1.951737
133	1.431844	1.782382	0.568120	0.778475	2.086438	1.971152	3.676678	3.358710
134	2.015780	1.894227	0.781361	0.828458	2.416989	2.016858	4.696879	3.482583
135	2.235315	1.817966	0.851052	0.814773	2.546542	1.950560	5.145038	3.303819
136	1.540600	1.382861	0.679729	0.651687	2.026161	1.698412	3.508144	2.675580
137	0.999056	1.510748	0.450043	0.750617	1.638752	1.684556	2.538167	2.643299
138	0.819431	1.445021	0.361017	0.732251	1.438303	1.629267	2.105382	2.516696
139	0.103621	1.133601	0.041975	0.671432	0.254443	1.187673	0.271337	1.621845
140	0.151440	1.150004	0.062431	0.673817	0.376755	1.233482	0.414578	1.705760
141	0.663775	1.081575	0.294331	0.495598	1.186192	1.517310	1.619165	2.270804
142	0.193352	1.164931	0.091857	0.677379	0.356708	1.226603	0.390497	1.693034
143	0.263270	1.189216	0.112112	0.679823	0.624532	1.332896	0.733036	1.894616
144	1.311562	1.593955	0.695958	0.777525	1.489137	1.673177	2.211065	2.616957
145	0.851255	1.204721	0.469104	0.679700	1.171557	1.355064	1.592777	1.938024
146	0.322548	1.217289	0.149487	0.685169	0.672575	1.384346	0.799482	1.996105
147	0.316464	1.202968	0.157739	0.685124	0.590257	1.289688	0.686598	1.811380
148	0.317357	1.210503	0.174399	0.688013	0.464106	1.270445	0.522373	1.774884
149	0.881637	1.442953	0.521358	0.743927	0.982416	1.512201	1.268579	2.259907
150	1.267545	1.458693	0.637049	0.745314	1.600217	1.613840	2.451564	2.481991
151	1.398517	1.348576	0.702442	0.703740	1.593132	1.493276	2.435823	2.219788
152	1.325388	1.603022	0.664836	0.776019	1.523004	1.720153	2.282980	2.726683
153	1.164340	0.995848	0.642210	0.570719	1.315745	1.126302	1.861360	1.512396
154	0.856499	1.420355	0.472626	0.735440	1.191498	1.560324	1.628778	2.363652
155	0.552559	0.552559	0.366135	0.366135	0.618277	0.618277	0.724502	0.724502
156	1.164402	1.523780	0.627748	0.759621	1.462873	1.635632	2.156128	2.531092
157	0.935553	1.216913	0.483738	0.583676	1.259497	1.522671	1.754277	2.282267
158	1.686918	1.813717	0.793709	0.820379	1.839721	1.875582	3.017881	3.108665
159	1.473025	1.729276	0.659561	0.800605	1.788932	1.823819	2.892060	2.978142
160	0.912006	0.866919	0.503964	0.534589	1.191783	1.051936	1.629296	1.384192
161	1.494871	1.494332	0.700113	0.741665	1.807292	1.674985	2.937175	2.621131
162	1.276573	1.482292	0.656326	0.739700	1.476368	1.607187	2.184265	2.467105
163	0.705797	1.335891	0.307844	0.706485	1.291945	1.538197	1.815682	2.315639
164	1.617439	1.352593	0.744288	0.700027	1.850595	1.587334	3.045237	2.422983
165	0.222126	1.179847	0.097190	0.678603	0.511207	1.298970	0.582481	1.829109
166	1.320008	1.228716	0.693845	0.658287	1.545553	1.483349	2.331543	2.198896
167	1.727087	1.404298	0.772391	0.702074	1.996400	1.651240	3.426788	2.566591
168	0.946126	1.385864	0.548311	0.727894	1.157375	1.508580	1.567391	2.252202
169	0.885064	1.398677	0.529667	0.729735	1.135515	1.532408	1.528612	2.303166
170	1.092882	0.882790	0.536682	0.535081	1.435391	1.139692	2.099409	1.535989
171	1.038621	1.409331	0.566683	0.730117	1.397618	1.573198	2.022711	2.391830
172	0.244020	0.858487	0.098053	0.533943	0.577407	1.075224	0.669392	1.423828
173	1.269592	1.426605	0.638257	0.705106	1.686188	1.682148	2.647091	2.637713
174	0.829300	1.334468	0.498070	0.721599	1.126821	1.410575	1.513306	2.048857
175	0.228606	1.114153	0.097406	0.668302	0.534418	1.155176	0.612627	1.563471
176	0.046801	0.138371	0.015956	0.046742	0.164363	0.454213	0.171305	0.509927
177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
178	1.293546	1.334535	0.602434	0.622682	1.685364	1.629291	2.645175	2.516750
179	1.247840	1.406250	0.556821	0.716551	1.767587	1.613818	2.840127	2.481940
180	1.198514	1.100554	0.670845	0.642502	1.345989	1.213621	1.920197	1.669141
181	2.208839	1.846959	0.849844	0.818748	2.469635	1.983105	4.875501	3.390831
182	1.626491	1.887918	0.704095	0.828439	2.014218	1.997893	3.475351	3.430840
183	1.248884	1.709777	0.606286	0.791893	1.737264	1.872810	2.767295	3.101590
184	1.091535	1.458524	0.492493	0.687995	1.648800	1.755231	2.561023	2.810315
185	0.326479	0.627165	0.132453	0.275943	0.766218	1.133539	0.933676	1.525127
186	1.010668	1.582586	0.560746	0.773410	1.374438	1.737163	1.976358	2.767055
187	1.470257	1.734651	0.656283	0.787271	1.910891	1.916173	3.199657	3.213408
188	1.750355	1.568281	0.779536	0.752508	2.065160	1.770268	3.616603	2.846617
189	1.282450	1.499926	0.520711	0.738240	1.865656	1.729700	3.083373	2.749300
190	1.273137	1.053616	0.632765	0.585311	1.578599	1.328622	2.403707	1.886302
191	2.008742	1.869072	0.820663	0.827059	2.320513	1.984304	4.381504	3.394063
192	0.018553	1.110981	0.005348	0.667855	0.098412	1.164755	0.100873	1.580580
193	0.759632	1.276362	0.348152	0.695514	1.215133	1.441952	1.671917	2.112879
194	0.628326	1.014405	0.379159	0.563609	0.843870	1.204609	1.049818	1.652645
195	0.356421	0.525116	0.137872	0.210244	0.839606	1.033902	1.043323	1.353815
196	0.362771	1.133571	0.168549	0.670442	0.689144	1.216119	0.822772	1.673727
197	0.648372	0.761524	0.301591	0.388018	1.100991	1.067240	1.468224	1.410188
198	0.677795	1.469859	0.288064	0.733801	1.224071	1.667291	1.688362	2.603388
199	1.430836	1.441152	0.609549	0.676720	1.916432	1.699131	3.214083	2.677261
200	0.899647	1.257490	0.440023	0.692580	1.384372	1.387398	1.996157	2.002207
201	0.546236	0.692549	0.214276	0.320805	1.132362	1.076695	1.523053	1.426347
202	0.705476	1.148872	0.319459	0.671284	1.208100	1.267194	1.659028	1.768752
203	1.001337	1.381663	0.436616	0.685338	1.558692	1.627533	2.360092	2.512781
204	0.421602	1.064370	0.237477	0.606175	0.622009	1.197554	0.729590	1.639784
205	0.331059	0.830260	0.162612	0.536503	0.619880	0.919160	0.726686	1.166818
206	0.412158	1.237819	0.152980	0.686835	0.974753	1.397268	1.256080	2.022009
207	2.418875	1.875559	0.897972	0.823959	2.551713	1.968648	5.163534	3.352006
208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
216	1.287909	1.456289	0.676236	0.738451	1.526316	1.551812	2.290079	2.345119
217	0.482100	1.265112	0.203796	0.693408	0.941720	1.426306	1.202742	2.080829
218	1.564469	1.419701	0.682015	0.702197	1.946952	1.661664	3.294260	2.590456
219	1.003130	1.535860	0.565130	0.767052	1.311069	1.658722	1.852344	2.583708
220	2.104001	1.877791	0.847156	0.829764	2.371192	1.961127	4.545275	3.331916
221	0.994470	1.373215	0.452170	0.716146	1.503127	1.535207	2.240625	2.309193
222	0.018553	1.110991	0.005348	0.667857	0.098412	1.164784	0.100873	1.580631
223	0.436967	1.131283	0.215728	0.669511	0.825676	1.233553	1.022201	1.705890
224	0.124518	0.229336	0.042249	0.080740	0.420902	0.650854	0.468469	0.769244
225	1.329553	1.623345	0.673504	0.779317	1.618702	1.752139	2.492898	2.802884
226	0.055637	0.749723	0.016000	0.509268	0.281791	0.907526	0.302609	1.148449
227	0.037099	0.709838	0.010681	0.502667	0.192204	0.762472	0.201743	0.928187
228	0.789084	1.354571	0.451351	0.721367	1.125813	1.478146	1.511537	2.187987
229	0.059302	1.118380	0.021218	0.669024	0.187308	1.163017	0.196359	1.577470
230	0.154162	1.145991	0.047553	0.672004	0.611852	1.277727	0.715763	1.788654
231	0.197977	1.213276	0.077870	0.682523	0.513737	1.383217	0.585750	1.993849
232	0.360145	1.269691	0.142199	0.694439	0.870359	1.419131	1.090480	2.066216
233	0.333864	1.238914	0.132869	0.687662	0.753980	1.393581	0.915780	2.014600
234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
236	0.486384	1.204177	0.185828	0.681566	1.140541	1.363497	1.537491	1.954664
237	0.861089	1.352851	0.409591	0.709778	1.377730	1.555840	1.982908	2.353879
238	0.630888	1.017759	0.408915	0.604459	0.757226	1.160386	0.920515	1.572766
239	0.830890	1.362965	0.493585	0.724025	1.155237	1.470425	1.563580	2.171851
240	0.335637	0.861190	0.179229	0.544927	0.542424	0.982873	0.623107	1.269325
241	1.105699	1.361355	0.596885	0.723193	1.367110	1.464852	1.961815	2.160242
242	0.126646	0.748755	0.042234	0.510506	0.462749	0.863170	0.520663	1.079392
243	1.072882	1.522623	0.486987	0.742758	1.579111	1.715018	2.404833	2.714563
244	1.533736	1.416058	0.742318	0.726153	1.740214	1.550682	2.774333	2.342664
245	0.991377	1.125670	0.529092	0.662603	1.263961	1.220884	1.762667	1.682491
246	0.861286	0.918877	0.486283	0.533733	1.201613	1.234050	1.647178	1.706813
247	1.437158	1.495864	0.632794	0.752528	1.866469	1.621794	3.085442	2.499850
248	0.342610	0.907568	0.158903	0.550766	0.699098	1.137481	0.836855	1.532083
249	0.065332	1.129840	0.021261	0.670218	0.255174	1.209722	0.272168	1.661996
250	1.534298	1.468517	0.706610	0.718831	1.882737	1.643400	3.126973	2.548726
251	0.782781	1.149378	0.488209	0.673072	0.962877	1.243683	1.236802	1.724709
252	1.712937	1.558696	0.760517	0.762821	1.992016	1.707816	3.414905	2.697615
253	0.066735	1.109776	0.021275	0.667858	0.263940	1.145176	0.282148	1.545698
254	0.760515	1.137048	0.481582	0.663487	0.921714	1.255156	1.170864	1.746138
255	0.000000	0.693147	0.000000	0.500000	0.000000	0.693147	0.000000	0.828427
256	1.541159	1.602715	0.639924	0.725791	1.963494	1.815561	3.338231	2.957630
257	0.469576	0.883250	0.218114	0.407153	0.892634	1.306053	1.125093	1.842695
258	2.105059	1.806146	0.846380	0.818755	2.325215	1.908052	4.396524	3.192281
259	2.143405	1.681846	0.844209	0.779423	2.465877	1.852704	4.862596	3.050561
260	1.872091	1.834894	0.787111	0.816545	2.226462	1.950114	4.088356	3.302636
261	0.181486	0.352123	0.052814	0.123897	0.775897	0.946986	0.947907	1.211185
262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
264	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
265	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
266	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
267	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
269	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
271	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
276	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
278	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
279	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
281	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
283	0.018553	0.018553	0.005348	0.005348	0.098412	0.098412	0.100873	0.100873
284	2.374464	1.825713	0.884790	0.813544	2.569590	1.964329	5.227854	3.340460
285	0.613061	0.874605	0.219724	0.369769	1.413081	1.406393	2.053934	2.040400
286	1.959120	1.577882	0.824458	0.760806	2.263817	1.734956	4.203140	2.761797
287	0.222823	1.154695	0.073371	0.673160	0.730335	1.294675	0.881511	1.820895
288	0.018553	0.702435	0.005348	0.501340	0.098412	0.742991	0.100873	0.899803
289	0.037099	1.111000	0.010681	0.667857	0.192204	1.164812	0.201743	1.580682
290	0.981268	1.252017	0.521185	0.694557	1.260661	1.372408	1.756462	1.972324
291	0.077826	1.118509	0.026508	0.669050	0.277103	1.163239	0.297218	1.577866
292	0.148684	1.141329	0.052527	0.672038	0.491891	1.227358	0.557660	1.694429
293	0.312051	1.190481	0.113406	0.678637	0.866342	1.353316	1.084280	1.934584
294	0.203681	0.795874	0.082901	0.521121	0.471448	0.943707	0.531649	1.205925
295	0.266037	0.865037	0.116856	0.536824	0.579111	1.099722	0.671668	1.466025
296	0.864037	0.878088	0.459645	0.544447	1.174818	1.063716	1.598640	1.404184
297	0.495159	1.249798	0.253189	0.695931	0.838706	1.342527	1.041955	1.913416
298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
